"","geneNames","geneIDs","transcriptNames","feature","id","fc","pval","qval","logfc"
"134",".","MSTRG.53","MSTRG.53.2","transcript","134",2.50973379350843,0.00746983820162295,0.037543688643249,1.32753434618689
"136","MTND1P23","MSTRG.53","ENST00000416931","transcript","136",13.5988303508115,0.00201375254641434,0.0146210619424166,3.76541066403568
"138",".","MSTRG.53","MSTRG.53.4","transcript","138",0.474874091247419,0.0292802088895285,0.103219142645686,-1.07438304883749
"152",".","MSTRG.54","MSTRG.54.3","transcript","152",3.24067356196511,0.000493691785422024,0.00541504357833193,1.69629370308307
"173",".","MSTRG.52","MSTRG.52.5","transcript","173",0.496614324992504,0.0158675551823931,0.0657403705205032,-1.0098022177915
"1218","C1orf174","MSTRG.379","ENST00000361605","transcript","1218",2.29230037217065,0.0021555225662877,0.0153573872883083,1.19679610039849
"1605","RPL22","MSTRG.597","ENST00000234875","transcript","1605",0.447271899704874,3.01514472778042e-06,0.000190293060825077,-1.16077597242656
"1818",".","MSTRG.684","MSTRG.684.2","transcript","1818",2.11868185594384,0.0184668891749126,0.0733523911134811,1.08316696698744
"1834","CAMTA1","MSTRG.684","ENST00000461580","transcript","1834",2.38847156974576,0.00937762017787414,0.0446812586000406,1.2560877043449
"1954","VAMP3","MSTRG.674","ENST00000054666","transcript","1954",2.57304824339068,0.000102404318770066,0.00187606427917896,1.36347850714867
"2011",".","MSTRG.817","MSTRG.817.8","transcript","2011",2.80964646872854,0.0167234472273911,0.068260651996283,1.49038861090911
"2019",".","MSTRG.817","MSTRG.817.16","transcript","2019",2.87049257564511,0.0253594185243827,0.0926516146660614,1.52129832417082
"2236","ENO1","MSTRG.1131","ENST00000234590","transcript","2236",2.04731400967322,0.000149272573220172,0.00241654219142735,1.03373239471856
"2611","PGD","MSTRG.1289","ENST00000270776","transcript","2611",2.17888776599333,1.6531435287348e-07,2.92150576534019e-05,1.12359188547861
"2805","RP4-635E18.8","MSTRG.1338","ENST00000607145","transcript","2805",0.40828763456744,2.58852448009605e-06,0.000177203006553821,-1.29234222024219
"3098",".","MSTRG.1501","MSTRG.1501.9","transcript","3098",2.29061003768587,0.00576107376913471,0.0309410089990387,1.19573186956213
"3130","TNFRSF1B","MSTRG.1508","ENST00000376259","transcript","3130",0.495514524628233,7.43034033481305e-05,0.00151240032360128,-1.01300074826872
"4247","PADI4","MSTRG.2218","ENST00000375448","transcript","4247",3.33034582692159,0.000194510136340531,0.00288363571528278,1.73567199617928
"4603","CAPZB","MSTRG.2482","ENST00000375142","transcript","4603",2.93834057689441,0.00562655993730599,0.030410642542505,1.55500162534277
"4604","CAPZB","MSTRG.2482","ENST00000433834","transcript","4604",2.56520201620203,0.0156886768519201,0.0652816996694074,1.3590724462208
"4963",".","MSTRG.2742","MSTRG.2742.24","transcript","4963",2.2369925631665,0.000957868829979835,0.00856402993346165,1.16156046019647
"5613","RPL11","MSTRG.3019","ENST00000374550","transcript","5613",0.452247165219483,0.000626238269748614,0.00637546990374768,-1.14481663512899
"5614",".","MSTRG.3019","MSTRG.3019.2","transcript","5614",0.253503097742161,0.000677011989741017,0.00672464894287532,-1.97992471819149
"6122",".","MSTRG.3279","MSTRG.3279.13","transcript","6122",2.34000363286387,0.0135276718619171,0.0585912024206093,1.22651076959954
"6249",".","MSTRG.3336","MSTRG.3336.24","transcript","6249",2.04107528946589,0.00585843338037106,0.0313484043127599,1.02932940027152
"6254",".","MSTRG.3336","MSTRG.3336.30","transcript","6254",2.41628929048699,0.0104069721132432,0.0483002785480159,1.27279319181773
"6444","SH3BGRL3","MSTRG.3434","ENST00000614679","transcript","6444",2.5786773652895,7.57291258590698e-07,8.12594337421663e-05,1.36663127967455
"6495","CD52","MSTRG.3440","ENST00000492808","transcript","6495",0.428725650795736,1.96027635235296e-08,6.47445785585233e-06,-1.22187335823462
"7034","PTAFR","MSTRG.3628","ENST00000373857","transcript","7034",2.26487262587071,0.000304707895715017,0.00389854333963915,1.17942991685347
"7063",".","MSTRG.3673","MSTRG.3673.5","transcript","7063",0.470891242381162,3.00001052266907e-06,0.000190143524079645,-1.08653420319228
"7510",".","MSTRG.3927","MSTRG.3927.2","transcript","7510",3.26284558300815,0.0287472746462968,0.101797607720889,1.70613071225361
"7640","ZCCHC17","MSTRG.4039","ENST00000618216","transcript","7640",2.57334846337409,0.000142192399485541,0.00233651955204019,1.36364682914419
"7827",".","MSTRG.4065","MSTRG.4065.2","transcript","7827",2.07545588380527,0.0345027615938762,0.116133374455562,1.05342826613001
"7834","SPOCD1","MSTRG.4065","ENST00000452755","transcript","7834",2.60184742953584,0.0206834742023441,0.0798465568419116,1.37953636593521
"7875","PTP4A2","MSTRG.4080","ENST00000602725","transcript","7875",2.00872933754163,0.00125405709745585,0.0103839634613817,1.00628318393544
"7880","PTP4A2","MSTRG.4080","ENST00000457805","transcript","7880",2.12709397174036,0.00435260662222081,0.0252419585459805,1.08888377075466
"7882","PTP4A2","MSTRG.4080","ENST00000602683","transcript","7882",2.78661877898831,8.45004012953732e-05,0.00164013984471541,1.47851564927291
"8036","LCK","MSTRG.4114","ENST00000469765","transcript","8036",0.483738726458961,0.000646978271486964,0.00653230403200212,-1.04770005527635
"8082","BSDC1","MSTRG.4148","ENST00000455895","transcript","8082",2.50166339805135,0.00657982555854952,0.034175127218167,1.32288768613419
"8286","RP4-803A2.1","MSTRG.4241","ENST00000401937","transcript","8286",2.05105041738046,0.000286196827414043,0.00373140693254944,1.03636295549927
"8287",".","MSTRG.4242","MSTRG.4242.1","transcript","8287",2.01421576866378,0.00361670435224637,0.0221392062258185,1.01021823732065
"9886","CAP1","MSTRG.5080","ENST00000372797","transcript","9886",2.48353670788689,6.39819662804353e-05,0.00138129755553101,1.31239607067086
"9887","CAP1","MSTRG.5080","ENST00000372802","transcript","9887",3.4473816219824,0.000192229068109562,0.00286360509101607,1.78550101256271
"9890","CAP1","MSTRG.5080","ENST00000414893","transcript","9890",2.04456257575346,1.1404860966735e-07,2.34155173741753e-05,1.03179221857358
"9894","CAP1","MSTRG.5080","ENST00000372792","transcript","9894",3.83803051127712,0.011954763782591,0.0534491886684802,1.94036618060396
"9897","CAP1","MSTRG.5080","ENST00000372805","transcript","9897",2.9455712227999,8.30333403811778e-07,8.51701221963575e-05,1.5585474372436
"9898","CAP1","MSTRG.5080","ENST00000435719","transcript","9898",5.50870741084649,7.27468665762121e-06,0.000339481680868534,2.46171383772044
"9899",".","MSTRG.5080","MSTRG.5080.13","transcript","9899",2.32030860619019,0.000712903567181566,0.00695478550099723,1.21431669975411
"10452",".","MSTRG.5423","MSTRG.5423.1","transcript","10452",0.129095682126674,0.00105603967637491,0.00918719399403359,-2.9534873473686
"10454",".","MSTRG.5423","MSTRG.5423.3","transcript","10454",3.35365869172111,0.0188708446321383,0.0745218223327721,1.74573587053108
"10455",".","MSTRG.5423","MSTRG.5423.4","transcript","10455",2.73214965491002,0.0242339361638294,0.089555156325441,1.4500365101592
"10683","MPL","MSTRG.5529","ENST00000612993","transcript","10683",2.75717708438679,7.45871211638161e-06,0.000345147052381715,1.46319192986613
"10685",".","MSTRG.5529","MSTRG.5529.3","transcript","10685",3.20302275177444,3.8110404698033e-05,0.00100791917811761,1.67943404592889
"10686",".","MSTRG.5529","MSTRG.5529.5","transcript","10686",2.07555073924872,0.000792430814322787,0.00751974101638669,1.05349420072868
"11196","RPS8","MSTRG.5675","ENST00000396651","transcript","11196",0.439483363362724,3.04433697246864e-05,0.000871808117288892,-1.18611954168792
"11202","RPS8","MSTRG.5675","ENST00000464658","transcript","11202",0.398090789544082,5.19986690283858e-06,0.000270937395074643,-1.32883060208858
"11531","GPBP1L1","MSTRG.5811","ENST00000290795","transcript","11531",2.36474677238888,5.21922755373216e-05,0.00121216829881275,1.24168570162865
"11730","UQCRH","MSTRG.5923","ENST00000496387","transcript","11730",2.09564841926484,3.61692517828471e-05,0.000977113616580878,1.0673967004973
"12056",".","MSTRG.6065","MSTRG.6065.22","transcript","12056",2.12211184608612,0.00530554381354142,0.0291333834554159,1.08550069562189
"12058",".","MSTRG.6065","MSTRG.6065.19","transcript","12058",2.28468057325142,0.0109795367590935,0.0501891233098594,1.19199247267947
"12059",".","MSTRG.6065","MSTRG.6065.20","transcript","12059",2.11373140741721,0.0191822253697368,0.0754885544727796,1.07979206460807
"12084","CMPK1","MSTRG.6026","ENST00000371871","transcript","12084",6.58148248114221,1.55046118133217e-06,0.000126234755702452,2.71841258810867
"12753",".","MSTRG.6569","MSTRG.6569.4","transcript","12753",2.29695497934028,0.00871467401029125,0.0422257542698712,1.19972257995527
"12754","NRD1","MSTRG.6569","ENST00000352171","transcript","12754",2.32619871767351,0.00615560890350375,0.0325741841595437,1.21797434563161
"12759","NRD1","MSTRG.6569","ENST00000615102","transcript","12759",2.08603769374922,0.00637265995283154,0.0333178351418941,1.06076522693426
"12760",".","MSTRG.6569","MSTRG.6569.10","transcript","12760",2.06311461766844,0.0158137767817521,0.0656327479148288,1.044823973308
"13078","SCP2","MSTRG.6736","ENST00000408941","transcript","13078",4.14150755012746,0.00815901130472629,0.0401110989355365,2.05015601873805
"13372","MRPL37","MSTRG.6909","ENST00000360840","transcript","13372",2.06106314322383,0.000591887715207684,0.00613525224220885,1.04338870430485
"13730","RP11-377K22.2","MSTRG.7107","ENST00000442812","transcript","13730",0.499264217839751,7.31953955916964e-05,0.00149781460243891,-1.00212458216086
"14678","ITGB3BP","MSTRG.7728","ENST00000271002","transcript","14678",0.377109195869737,0.00368279091308787,0.0223870687494756,-1.40694576362309
"14906","JAK1","MSTRG.7920","ENST00000342505","transcript","14906",2.41842619957607,0.00724135746590215,0.0366958576566235,1.27406851333468
"15031","LEPR","MSTRG.7976","ENST00000371060","transcript","15031",2.85648802464705,0.00348176141322132,0.0215588920192039,1.51424248167452
"15035","LEPROT","MSTRG.7976","ENST00000484243","transcript","15035",2.24798452438772,0.000139438191770092,0.00230362728799666,1.16863210376794
"15358",".","MSTRG.8278","MSTRG.8278.8","transcript","15358",2.02543581528142,1.90643145100422e-05,0.000639228762427078,1.01823236769906
"16040",".","MSTRG.8793","MSTRG.8793.1","transcript","16040",0.45535805672158,1.25922662024269e-05,0.000487760475111898,-1.1349266847184
"17014",".","MSTRG.9401","MSTRG.9401.1","transcript","17014",0.456033749906719,7.02291989796988e-05,0.00146154076707377,-1.1327874963279
"17017","USP33","MSTRG.9401","ENST00000357428","transcript","17017",2.69757760454915,0.000510900848045726,0.00552657514530876,1.43166446410171
"17019",".","MSTRG.9401","MSTRG.9401.3","transcript","17019",2.44781550167952,0.000223094373712041,0.00316331082095725,1.29149482239212
"17031",".","MSTRG.9401","MSTRG.9401.14","transcript","17031",2.52688890580414,0.00114951292014398,0.00976687178028523,1.3373622378606
"17032",".","MSTRG.9401","MSTRG.9401.13","transcript","17032",2.01846534801295,0.000823334401653608,0.00773151412203126,1.01325881957592
"18049","PRKACB","MSTRG.10222","ENST00000370685","transcript","18049",3.67817881648253,1.21502375849403e-05,0.00047686567075356,1.87899161878781
"18183",".","MSTRG.10324","MSTRG.10324.11","transcript","18183",2.26590017893588,0.0202529959514688,0.0786209694474149,1.18008430664552
"19041",".","MSTRG.10879","MSTRG.10879.5","transcript","19041",0.401857145150879,8.51716919214596e-10,7.66870883762248e-07,-1.31524536117032
"19071","LRRC8D","MSTRG.10879","ENST00000527156","transcript","19071",3.22268991714225,1.92496590186719e-05,0.000643872480250549,1.688265380913
"19344",".","MSTRG.11070","MSTRG.11070.10","transcript","19344",0.271951708292258,4.19587372211261e-05,0.00106596084858949,-1.87857760662035
"19345",".","MSTRG.11082","MSTRG.11082.1","transcript","19345",0.272016506497225,4.20768373892155e-05,0.00106630647599011,-1.87823389517962
"19794","FNBP1L","MSTRG.11258","ENST00000260506","transcript","19794",2.08593486789899,0.00484185962897921,0.0273475735833838,1.0606941112488
"20405",".","MSTRG.11703","MSTRG.11703.1","transcript","20405",0.382160601981704,0.000166958540028128,0.00260637520952631,-1.38774904042175
"20406","RPL7P9","MSTRG.11703","ENST00000468715","transcript","20406",0.481539780389244,3.8258632791166e-05,0.00101053626025536,-1.05427310969575
"21839","SEPT2P1","MSTRG.12850","ENST00000419651","transcript","21839",2.48649730412391,1.81662073461819e-06,0.00013997279403051,1.31411486696244
"22283","STXBP3","MSTRG.13201","ENST00000370008","transcript","22283",2.38827602979527,5.14004198020057e-05,0.00120491387380458,1.25596958861401
"22552","GSTM4","MSTRG.13325","ENST00000369836","transcript","22552",2.05385225059216,0.00117474866895739,0.00992618851857374,1.03833240122533
"22945",".","MSTRG.13427","MSTRG.13427.1","transcript","22945",0.486061698884472,0.000897656375391742,0.00817018110345549,-1.04078863902967
"22947",".","MSTRG.13427","MSTRG.13427.3","transcript","22947",0.458806887382483,0.00595284641667426,0.0317205373983724,-1.12404104634537
"23139",".","MSTRG.13477","MSTRG.13477.1","transcript","23139",0.437205823860258,0.00114319241041749,0.00972396478469317,-1.193615476132
"23147",".","MSTRG.13477","MSTRG.13477.9","transcript","23147",0.485347664573445,0.000524217589151998,0.00561142676204379,-1.04290954497071
"23219",".","MSTRG.13544","MSTRG.13544.3","transcript","23219",2.31698383572021,0.00118359109065713,0.00998161819787515,1.21224797937423
"23428","CAPZA1","MSTRG.13589","ENST00000263168","transcript","23428",2.46627887644547,2.57538849579575e-07,3.98183676877754e-05,1.30233594285387
"23473","RHOC","MSTRG.13629","ENST00000484280","transcript","23473",2.29987891152898,0.00010563669875141,0.00191455296664093,1.20155790537166
"23864","CSDE1","MSTRG.13829","ENST00000358528","transcript","23864",5.11330244680693,0.000427018317573635,0.00488137108135986,2.35425536254035
"23951",".","MSTRG.13837","MSTRG.13837.3","transcript","23951",2.02952826202262,0.0162566347482409,0.0669263528170924,1.02114443030217
"24276",".","MSTRG.14091","MSTRG.14091.3","transcript","24276",0.454668356064764,3.38063524951693e-08,9.5963794313532e-06,-1.13711349576876
"24393","MAN1A2","MSTRG.14181","ENST00000356554","transcript","24393",0.487047549599964,0.000145302239841993,0.0023757522372118,-1.03786546791172
"24412","FAM46C","MSTRG.14179","ENST00000369448","transcript","24412",3.82374665044844,7.45706440152816e-07,8.03813776492893e-05,1.93498693800223
"25030",".","MSTRG.14616","MSTRG.14616.3","transcript","25030",0.335214056590688,1.66955541081037e-06,0.000131388431339686,-1.57684544779377
"25040",".","MSTRG.14672","MSTRG.14672.1","transcript","25040",0.430878588905339,0.000194709917971547,0.00288363571528278,-1.21464668464411
"25045",".","MSTRG.14675","MSTRG.14675.1","transcript","25045",0.406230803612785,9.2345652407344e-05,0.00174020519395492,-1.29962845462686
"25047",".","MSTRG.14676","MSTRG.14676.1","transcript","25047",0.473708764680611,0.000169674448296186,0.00263132922274121,-1.07792772960881
"25058",".","MSTRG.14673","MSTRG.14673.8","transcript","25058",0.470049675539228,0.00045899384534509,0.00513191328982807,-1.08911486391188
"25060",".","MSTRG.14673","MSTRG.14673.10","transcript","25060",0.493165976799972,0.00399631586656513,0.0237275441472378,-1.01985482230616
"25061",".","MSTRG.14678","MSTRG.14678.1","transcript","25061",0.396057102394596,8.89885730582796e-05,0.00169944303620281,-1.33621964588938
"25063",".","MSTRG.14675","MSTRG.14675.8","transcript","25063",0.479470473408983,1.82676789464153e-05,0.000622748836956139,-1.06048612047405
"25491",".","MSTRG.14859","MSTRG.14859.9","transcript","25491",0.420103271348975,0.0158588788504295,0.0657395016058587,-1.25118407473642
"25674",".","MSTRG.15023","MSTRG.15023.16","transcript","25674",2.21660175785504,0.00956555670823855,0.0453859869047283,1.14834959403175
"25682",".","MSTRG.15023","MSTRG.15023.19","transcript","25682",2.33364699430033,9.6994498542724e-05,0.00180504108443064,1.22258634421185
"26150",".","MSTRG.15177","MSTRG.15177.6","transcript","26150",2.44692757827264,0.032486088308187,0.111320241080149,1.29097140259708
