,X.1,X,geneNames,geneIDs,transcriptNames,feature,id,fc,pval,qval,logfc,FDR,p.ad_BH,p.ad_bonf,p.ad_hoch
1528,1528,531955,MT-CO3,MSTRG.332366,ENST00000362079,transcript,531955,16.39325542,0.007036042,0.035911032,4.035030472,0.008983018,0.008983018,1,0.0498722
272,272,72372,TPP1,MSTRG.44768,ENST00000611494,transcript,72372,15.44702268,3.02E-10,3.70E-07,3.949256889,2.10E-08,2.10E-08,4.84E-07,4.77E-07
300,300,82713,FTH1,MSTRG.51006,ENST00000529548,transcript,82713,15.39730211,0.000169482,0.002629677,3.944605681,0.000419211,0.000419211,0.271340645,0.0498722
229,229,59185,VCL,MSTRG.36403,ENST00000211998,transcript,59185,14.7770301,5.91E-05,0.00130981,3.885284439,0.000177818,0.000177818,0.094599179,0.0498722
2,2,136,MTND1P23,MSTRG.53,ENST00000416931,transcript,136,13.59883035,0.002013753,0.014621062,3.765410664,0.003114993,0.003114993,1,0.0498722
223,223,58149,HK1,MSTRG.35880,ENST00000298649,transcript,58149,9.807248264,5.72E-09,2.54E-06,3.293848399,1.76E-07,1.76E-07,9.16E-06,8.87E-06
358,358,103152,ARHGDIB,MSTRG.62074,ENST00000536592,transcript,103152,9.022656253,0.004581756,0.02621706,3.173552223,0.006301882,0.006301882,1,0.0498722
414,414,115466,NAP1L1,MSTRG.68856,ENST00000544816,transcript,115466,8.820760347,6.03E-05,0.001323328,3.140903021,0.000179684,0.000179684,0.096544394,0.0498722
1050,1050,353684,MBNL1,MSTRG.207938,ENST00000485910,transcript,353684,6.732193754,0.001316955,0.010728031,2.751076698,0.002171215,0.002171215,1,0.0498722
1007,1007,336306,GPX1,MSTRG.196439,ENST00000620890,transcript,336306,6.723561849,0.005123487,0.028414004,2.749225712,0.006916275,0.006916275,1,0.0498722
62,62,12084,CMPK1,MSTRG.6026,ENST00000371871,transcript,12084,6.581482481,1.55E-06,0.000126235,2.718412588,1.12E-05,1.12E-05,0.002482288,0.002144288
513,513,166650,SERF2,MSTRG.101739,ENST00000403425,transcript,166650,6.518399247,0.010609159,0.048963997,2.704517719,0.012848157,0.012848157,1,0.0498722
1114,1114,378733,DAPP1,MSTRG.224925,ENST00000296414,transcript,378733,6.358583684,7.17E-05,0.001476953,2.668705454,0.00020751,0.00020751,0.11475326,0.0498722
408,408,114138,RAP1B,MSTRG.68001,ENST00000543393,transcript,114138,5.74086231,0.011664597,0.052482116,2.521267454,0.013936582,0.013936582,1,0.0498722
1380,1380,486965,ASAH1,MSTRG.299652,ENST00000520781,transcript,486965,5.692951591,0.023116992,0.086651415,2.509176832,0.025159962,0.025159962,1,0.0498722
877,877,293244,CXCR2P1,MSTRG.171291,ENST00000443392,transcript,293244,5.666666646,0.001146848,0.00974964,2.502500335,0.001945025,0.001945025,1,0.0498722
1376,1376,484994,DEFA1,MSTRG.298157,ENST00000382692,transcript,484994,5.591983554,0.000128589,0.00218617,2.483360118,0.000337493,0.000337493,0.205870617,0.0498722
918,918,309808,GNAS,MSTRG.181418,ENST00000480975,transcript,309808,5.586690861,0.019908749,0.077639048,2.481993991,0.022088639,0.022088639,1,0.0498722
659,659,210589,ITGA2B,MSTRG.123681,ENST00000262407,transcript,210589,5.554235325,9.49E-06,0.000408609,2.473588303,4.24E-05,4.24E-05,0.015193681,0.011805709
280,280,73446,EIF4G2,MSTRG.45327,ENST00000532152,transcript,73446,5.540567911,0.000186719,0.002801976,2.470033861,0.000452935,0.000452935,0.298937228,0.0498722
